	Sport	Technology	Law	Economy	ESport
á	1	0	0	0	1
ai	0	1	0.5	0	0
am hiểu	1	0	0	0	0
âm thầm	0	1	0	0	0
án	0	0	1	0.25	0
ẩn	0	1	0	0	1
ẩn số	0	0	0	0	1
an toàn	0	0.2	0.2	1	0
ấn tượng	0	0	1	0	0
ăn ý	1	0	0	0	0
anh	0.5294118	0.11764706	0	1	0.11764706
ánh	0	0	0	1	0
ảnh	1	0	0	0	0
ảnh hưởng	0.33333334	1	0	0	0
ảo	0	1	0	0	0
áp dụng	0	0	0	0	1
ấy	1	0	0	0	1
ba	0	0	1	0	0
bà	0	0	1	0	0
bắc	0	0.125	1	0	0
bậc	1	0	0	0	0
bài	1	0	0	0	0
bại	1	0	0	0	0
bài toán	0	0	0	1	0
bài trí	0	0	0	1	0
ban	1	0.14285715	0.14285715	0.14285715	0
bán	0.16666667	0.6666667	0	1	0
bàn	1	0	0	0	0
bắn	0	0	0	0	1
bản	0	0.4	0.4	0	1
bạn	0.5	0.25	0.25	0	1
bản án	0	0	1	0	0
bán buôn	0	0	1	0	0
bàn cãi	1	0	0	0	0
bàn giao	0	0	0	1	0
bán kết	1	0	0	0	0
bán kính	0	0	0	1	0
bán lẻ	0	0	1	1	0
bản lĩnh	0	0	0	0	1
bản quyền	0	0	1	0	0
bận tâm	0	0	0	1	0
bản thân	0	0.6666667	0	0	1
bản thảo	0	1	0	0	0
băng	0	0	0	0	1
bằng	1	1	0	0	0
bảng	1	0	0	0	0.33333334
băng giá	0	0	0	0	1
báo	0	0	1	0	0
bảo	1	0	0.5	0	0
báo cáo	0	0.75	0	1	0
bảo chứng	0	0	0	1	0
bao giờ	1	0	0	0	0
bao gồm	0	1	0	0	0
bảo lãnh	0	0	0	1	0
bảo toàn	0	0	0	1	0
bảo tồn	0	1	0	0	0
bảo vệ	0	0	1	0	0
bao xa	0	1	0	0	0
bất	1	0	0	0	0
bắt	0	0	1	0.25	0.25
bật	0	1	0	0	0
bắt đầu	0	0	0	1	0
bất động	0	0	0	1	0
bất động sản	0	0	0	1	0
bắt giữ	0	0	1	0	0
bất kỳ	0.33333334	1	0	0.33333334	0.6666667
bất ngờ	0	0	0	0	1
bầu chọn	1	0	0	0	0
bay	0	0	0	0	1
bé	0	0	1	0	0
bề	0	0	0	1	0
bệ phóng	0	0	0	1	0
bế tắc	0	0	1	0	0
bên	0.2	0.2	0.4	1	0.2
bến	0.33333334	0	1	0	0.33333334
bền	0	1	0	1	0
bền vững	0	0.2	0	1	0
bét	1	0	0	0	0
beta	0	1	0	0	0
bí	0	0	0	1	0
bỉ	1	0	0	0	0
bị	0.09090909	0.27272728	0.72727275	0.27272728	1
bị can	0	0	1	0	0
bị đơn	0	0	1	0	0
bí quyết	1	0	0	1	0
bia	0	0	0	1	0
biên	0	0	1	0	0
biển	0	0	0	1	0
biết	0.6	1	0.6	0.2	0.4
biệt	0	1	0	0	0
biểu hiện	1	0	0	0	0
bình	0	0	1	1	0.5
bình chọn	1	1	0	0	0
bình luận	1	0	0	0	0
bo	0	0	0	0	1
bò	1	0	0	0	0
bỏ	0	0	0	0.4	1
bờ	0	0	0	1	0
bộ	0	0.1	1	0.1	0
bộ não	1	0	0	0	0
bổ nhiệm	0	1	0	0	0
bộ phận	0	1	0	0	0
bỏ qua	0	0	0	1	0
bổ trợ	0	0	0	0	1
bơi	0	0	0	1	0
bởi	0.2	0.4	0	1	0
bối cảnh	0	0	0	1	0
bối rối	0	1	0	0	0
bồi thường	0	0	1	0	0
bởi vì	1	0	0	0	0
